Id,Main,title,Third,Brands,旗舰店,天猫超市,海外旗舰店
169,进口食品,进口酒饮,进口葡萄酒,Suamgy/圣芝,1,1,0
170,进口食品,进口酒饮,进口葡萄酒,红魔鬼,1,1,0
171,进口食品,进口酒饮,进口葡萄酒,幸运石,1,0,1
172,进口食品,进口酒饮,进口葡萄酒,爱多堡庄园,0,1,0
173,进口食品,进口酒饮,进口葡萄酒,梦诺,1,1,0
174,进口食品,进口酒饮,进口葡萄酒,丽瑞城堡,0,1,0
175,进口食品,进口酒饮,进口啤酒,奥丁格,1,1,0
176,进口食品,进口酒饮,进口啤酒,科罗娜,1,1,0
177,进口食品,进口酒饮,进口啤酒,瓦伦丁,1,1,0
178,进口食品,进口酒饮,进口啤酒,爱士堡,1,1,0
179,进口食品,进口酒饮,进口啤酒,Kuliner/古立特,0,1,0
180,进口食品,进口酒饮,进口啤酒,Hoegaarden/福佳,1,1,0
181,进口食品,进口酒饮,进口啤酒,凯尔特人,1,1,0
182,进口食品,进口酒饮,进口啤酒,ASAHI/朝日,1,1,1
183,进口食品,进口酒饮,进口啤酒,stangen/斯坦根,1,1,0
184,进口食品,进口酒饮,进口啤酒,kaiserdom,1,1,0
185,进口食品,进口酒饮,进口啤酒,燕京啤酒,1,1,0
186,进口食品,进口酒饮,进口啤酒,中粮,1,1,0
187,进口食品,进口酒饮,进口啤酒,波罗的海,1,1,0
188,进口食品,进口酒饮,进口啤酒,Brouczech/布鲁杰克,1,1,0
189,进口食品,进口酒饮,进口啤酒,喜力,1,1,0
190,进口食品,进口酒饮,进口啤酒,格林王,1,1,0
191,进口食品,进口酒饮,进口啤酒,健力士,1,1,0
192,进口食品,进口酒饮,进口啤酒,保拉纳,1,1,0
193,进口食品,进口酒饮,进口啤酒,CHANG BEER,0,1,0
194,进口食品,进口酒饮,进口啤酒,嘉士伯,1,1,0
195,进口食品,进口酒饮,进口起泡酒,爱之湾,1,1,0
196,进口食品,进口酒饮,进口起泡酒,WINEKEE/红酒客,0,1,0
197,进口食品,进口酒饮,进口起泡酒,HENKELL TROCKEN/汉凯,1,1,0
198,进口食品,进口酒饮,进口起泡酒,浪漫之花,1,1,0
199,进口食品,进口酒饮,进口起泡酒,俏慕,0,1,0
200,进口食品,进口酒饮,进口起泡酒,香奈,1,1,0
201,进口食品,进口酒饮,进口起泡酒,仑巴迪,1,1,0
202,进口食品,进口酒饮,进口起泡酒,梦诺,1,1,0
203,进口食品,进口酒饮,进口起泡酒,杰卡斯,1,1,0
204,进口食品,进口酒饮,进口起泡酒,罗莎,1,1,0
205,进口食品,进口酒饮,进口起泡酒,Chivas/芝华士,1,1,0
206,进口食品,进口酒饮,进口起泡酒,恋爱季,1,1,0
207,进口食品,进口酒饮,进口起泡酒,Bacardi/百加得,1,1,0
208,进口食品,进口酒饮,进口起泡酒,Martini/马天尼,1,1,0
209,进口食品,进口酒饮,进口洋酒,Martell/马爹利,1,1,0
210,进口食品,进口酒饮,进口洋酒,Johnnie walker/尊尼获加,1,0,0
211,进口食品,进口酒饮,进口洋酒,Chivas/芝华士,1,1,0
212,进口食品,进口酒饮,进口洋酒,Jack Daniels/杰克丹尼,1,1,0
213,进口食品,进口酒饮,进口洋酒,Absolut/绝对,1,1,0
